Network_Code, Route_Code, Route_Direction, Segment, Sequence, Latitude, Longitude, Elevation
reseau_2012, 11, A,5,  1, 6.145796, 46.18446, 0

reseau_2012, 11, A,5,  2, 6.145885, 46.18464, 0

reseau_2012, 11, A,5,  3, 6.145924, 46.18471, 0

reseau_2012, 11, A,5,  4, 6.145936, 46.18473, 0

reseau_2012, 11, A,5,  5, 6.145948, 46.18475, 0

reseau_2012, 11, A,5,  6, 6.145963, 46.18476, 0

reseau_2012, 11, A,5,  7, 6.145979, 46.18478, 0

reseau_2012, 11, A,5,  8, 6.145998, 46.18479, 0

reseau_2012, 11, A,5,  9, 6.146017, 46.18481, 0

reseau_2012, 11, A,5,  10, 6.146038, 46.18482, 0

reseau_2012, 11, A,5,  11, 6.146061, 46.18483, 0

reseau_2012, 11, A,5,  12, 6.146085, 46.18484, 0

reseau_2012, 11, A,5,  13, 6.146111, 46.18485, 0

reseau_2012, 11, A,5,  14, 6.146116, 46.18485, 0

reseau_2012, 11, A,5,  15, 6.146122, 46.18485, 0

reseau_2012, 11, A,5,  16, 6.146127, 46.18485, 0

reseau_2012, 11, A,5,  17, 6.146155, 46.18486, 0

reseau_2012, 11, A,5,  18, 6.146184, 46.18486, 0

reseau_2012, 11, A,5,  19, 6.146213, 46.18486, 0

reseau_2012, 11, A,5,  20, 6.146242, 46.18486, 0

reseau_2012, 11, A,5,  21, 6.146272, 46.18486, 0

reseau_2012, 11, A,5,  22, 6.1463, 46.18486, 0

reseau_2012, 11, A,5,  23, 6.146425, 46.18484, 0

reseau_2012, 11, A,5,  24, 6.146542, 46.18481, 0

reseau_2012, 11, A,5,  25, 6.146665, 46.18479, 0

reseau_2012, 11, A,5,  26, 6.146803, 46.18478, 0

reseau_2012, 11, A,5,  27, 6.147438, 46.18481, 0

reseau_2012, 11, A,5,  28, 6.147935, 46.18484, 0

reseau_2012, 11, A,5,  29, 6.148605, 46.18482, 0

reseau_2012, 11, A,5,  30, 6.149338, 46.18476, 0

reseau_2012, 11, A,5,  31, 6.149738, 46.18468, 0

reseau_2012, 11, A,5,  32, 6.150172, 46.18457, 0

reseau_2012, 11, A,5,  33, 6.150286, 46.18454, 0

reseau_2012, 11, A,6,  0, 6.150286, 46.18454, 0

reseau_2012, 11, A,6,  1, 6.150676, 46.18445, 0

reseau_2012, 11, A,6,  2, 6.1511, 46.1843, 0

reseau_2012, 11, A,6,  3, 6.152366, 46.18388, 0

reseau_2012, 11, A,6,  4, 6.152971, 46.18367, 0

reseau_2012, 11, A,6,  5, 6.153582, 46.18344, 0

reseau_2012, 11, A,6,  6, 6.154745, 46.18307, 0

reseau_2012, 11, A,6,  7, 6.155115, 46.18296, 0

reseau_2012, 11, A,6,  8, 6.155522, 46.1828, 0

reseau_2012, 11, A,6,  9, 6.155861, 46.18264, 0

reseau_2012, 11, A,6,  10, 6.156372, 46.1824, 0

reseau_2012, 11, A,6,  11, 6.156601, 46.18226, 0

reseau_2012, 11, A,7,  0, 6.156601, 46.18226, 0

reseau_2012, 11, A,7,  1, 6.156748, 46.18205, 0

reseau_2012, 11, A,7,  2, 6.156929, 46.18188, 0

reseau_2012, 11, A,7,  3, 6.157292, 46.18166, 0

reseau_2012, 11, A,7,  4, 6.157932, 46.18141, 0

reseau_2012, 11, A,7,  5, 6.158067, 46.18135, 0

reseau_2012, 11, A,8,  0, 6.139478, 46.18312, 0

reseau_2012, 11, A,8,  1, 6.140962, 46.18328, 0

reseau_2012, 11, A,9,  0, 6.140742, 46.2228, 0

reseau_2012, 11, A,9,  1, 6.140192, 46.22276, 0

reseau_2012, 11, A,9,  2, 6.139646, 46.22276, 0

reseau_2012, 11, A,9,  3, 6.138568, 46.22306, 0

reseau_2012, 11, A,10,  0, 6.136367, 46.18357, 0

reseau_2012, 11, A,10,  1, 6.137526, 46.18366, 0

reseau_2012, 11, A,11,  0, 6.137186, 46.19017, 0

reseau_2012, 11, A,11,  1, 6.137198, 46.18982, 0

reseau_2012, 11, A,11,  2, 6.137252, 46.18887, 0

reseau_2012, 11, A,12,  0, 6.147231, 46.22397, 0

reseau_2012, 11, A,12,  1, 6.146888, 46.22388, 0

reseau_2012, 11, A,12,  2, 6.14608, 46.2237, 0

reseau_2012, 11, A,12,  3, 6.144719, 46.22347, 0

reseau_2012, 11, A,13,  0, 6.137252, 46.18887, 0

reseau_2012, 11, A,13,  1, 6.13714, 46.18861, 0

reseau_2012, 11, A,13,  2, 6.137093, 46.18857, 0

reseau_2012, 11, A,13,  3, 6.136915, 46.18845, 0

reseau_2012, 11, A,13,  4, 6.13668, 46.18831, 0

reseau_2012, 11, A,13,  5, 6.136575, 46.18826, 0

reseau_2012, 11, A,14,  0, 6.136575, 46.18826, 0

reseau_2012, 11, A,14,  1, 6.136512, 46.18819, 0

reseau_2012, 11, A,14,  2, 6.136364, 46.18809, 0

reseau_2012, 11, A,14,  3, 6.136232, 46.18795, 0

reseau_2012, 11, A,14,  4, 6.13618, 46.18784, 0

reseau_2012, 11, A,14,  5, 6.136166, 46.18777, 0

reseau_2012, 11, A,14,  6, 6.136092, 46.18752, 0

reseau_2012, 11, A,14,  7, 6.136061, 46.18734, 0

reseau_2012, 11, A,14,  8, 6.136045, 46.18719, 0

reseau_2012, 11, A,14,  9, 6.13604, 46.18711, 0

reseau_2012, 11, A,14,  10, 6.136035, 46.18705, 0

reseau_2012, 11, A,14,  11, 6.135997, 46.18701, 0

reseau_2012, 11, A,14,  12, 6.135965, 46.18697, 0

reseau_2012, 11, A,14,  13, 6.135953, 46.18694, 0

reseau_2012, 11, A,14,  14, 6.135956, 46.18689, 0

reseau_2012, 11, A,14,  15, 6.135983, 46.18684, 0

