year,month,day,agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop
12,10,1,VBZ,20121001,10,17,58410,1,9,1550,LETZ,"ZÃ¼rich, Letzistrasse",COBRA,VBZ Tram Cobra,3065,87,87,0,0,1,21
12,10,1,VBZ,20121001,10,12,37482,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,131,131,0,2,2,38
12,10,1,VBZ,20121001,10,12,47382,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,216,216,0,2,0,34
12,10,1,VBZ,20121001,10,12,22062,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,107,107,0,0,0,31
12,10,1,VBZ,20121001,10,12,27582,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,312,312,0,3,8,56
12,10,1,VBZ,20121001,10,12,82272,1,9,6459,ZOER,"ZÃ¼rich, Oerlikerhus",COBRA,VBZ Tram Cobra,3066,41,41,0,0,2,8
12,10,1,VBZ,20121001,10,12,57162,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,106,106,0,3,2,33
12,10,1,VBZ,20121001,10,17,58410,1,10,1399,KINK,"ZÃ¼rich, Kinkelstrasse",COBRA,VBZ Tram Cobra,3065,87,87,0,0,1,20
12,10,1,VBZ,20121001,10,12,37482,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,131,131,0,0,2,36
12,10,1,VBZ,20121001,10,12,22062,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,107,107,0,2,2,31
12,10,1,VBZ,20121001,10,12,72372,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,75,75,0,4,1,39
12,10,1,VBZ,20121001,10,12,47382,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,216,216,0,14,6,42
12,10,1,VBZ,20121001,10,12,27582,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,312,312,0,1,10,47
12,10,1,VBZ,20121001,10,12,62862,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,205,205,0,10,3,78
12,10,1,VBZ,20121001,10,12,82272,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3066,41,41,0,0,1,7
12,10,1,VBZ,20121001,10,12,87360,1,10,1399,KINK,"ZÃ¼rich, Kinkelstrasse",COBRA,VBZ Tram Cobra,3066,13,13,0,0,0,4
12,10,1,VBZ,20121001,10,17,66762,1,10,1552,LEUT,"ZÃ¼rich, Leutschenbach",COBRA,VBZ Tram Cobra,3065,163,163,0,9,4,56
