routeNumber,runNumber,stopSequenceNr,stopId,stopNumber,stopNameShort,arrivalScheduled,arrivalActual,departureActual,mileage,vehicleId,vehicleNumber,latitude,longitude
4,6,8,1574,799,EWYS,32118,32204,32218,364770620,838,3031,8.52358638888889,47.3899791666667
4,3,24,2680,917,FROE,32124,32164,32174,354949794,821,3012,8.55700111111111,47.355065
3,6,6,2641,1724,NEUM,32130,32197,32207,1429641754,717,2068,8.54739888888889,47.3726444444444
3,1,6,1535,48,ALBP,32136,32122,32146,329774544,848,3041,8.51051388888889,47.3781736111111
2,7,5,2689,832,FELD,32142,32170,32181,348589004,832,3024,8.55231833333333,47.3602916666667
4,9,23,2575,2449,SPOW,32148,32146,32157,336000589,815,3006,8.50612,47.3915361111111
2,4,19,2245,1548,LETG,32154,32132,32147,1438891001,961,2062,8.50382,47.3811588888889
2,3,25,1310,821,FARB,32160,32140,32331,350015720,837,3030,8.47936138888889,47.3907547222222
2,9,20,2612,1456,KRES,32166,32199,32213,337383144,968,3029,8.54991055555556,47.3629144444444
2,2,6,2253,883,FREI,32172,32178,32190,1519629652,700,2049,8.49987083333333,47.3830302777778
7,13,32,2316,2575,BSTE,32178,32540,32659,1051501871,758,2115,8.59663166666667,47.3970961111111
2,5,14,1306,478,BEZI,32184,32127,32146,360978593,825,3016,8.52586861111111,47.3739463888889
2,1,12,1306,478,BEZI,32190,32255,32273,329231480,834,3026,8.52586861111111,47.3739463888889
4,5,14,1542,413,BQUA,32196,32212,32235,366646600,816,3007,8.54203305555555,47.3776161111111
5,1,10,1893,3026,ENGE,32202,32235,32300,1475871961,948,2090,8.53190444444444,47.3641386111111
4,7,3,2740,7,AARG,32208,32222,32267,339689347,844,3037,8.50270361111111,47.3922511111111
2,11,16,2228,601,BOES,32214,32301,32311,333232589,840,3033,8.53984277777778,47.3683719444444
2,7,6,2612,1456,KRES,32220,32253,32267,348589349,832,3024,8.54991055555556,47.3629144444444
2,4,20,2253,883,FREI,32226,32203,32220,1438891378,961,2062,8.49987083333333,47.3830302777778
3,3,21,2810,47,ALBR,32232,32295,32645,219291304,813,3004,8.48507888888889,47.3743230555556
7,12,2,2356,1620,MATT,32238,32264,32277,1557944875,962,2085,8.59114055555555,47.3986172222222
2,2,7,2245,1548,LETG,32244,32242,32254,1519630029,700,2049,8.50382,47.3811588888889
2,6,11,1528,1861,PARA,32250,32438,32458,1460078550,720,2071,8.53938055555555,47.3697255555556
3,7,2,1406,1278,HOEL,32256,32281,32297,210738054,812,3002,8.563195,47.3657002777778
2,5,15,1906,1357,KALK,32262,32210,32228,360978956,825,3016,8.52153222222222,47.3742838888889
3,8,21,1905,1430,KLUS,32268,32355,32585,1381011243,709,2058,8.56673861111111,47.3642266666667
5,7,2,2550,1519,LAUB,32274,32482,32494,1462448586,740,2094,8.51733638888889,47.3586536111111
2,3,1,1310,821,FARB,32280,32347,32347,350015760,837,3030,8.47936138888889,47.3907547222222
5,9,16,2260,2367,RIGI,32286,32556,32558,1390131270,744,2098,8.54843861111111,47.3856955555556
