agencyid,servicedate,routeid,runid,tripstart,direction,stopsequencenr,stopid,stopnameshort,stopname,vehicletypeshort,vehicletype,vehiclenumber,passengerboardingtrip,passengeralightingtrip,passengerdifferencetrip,passengerboardingstop,passengeralightingstop,passengerloadstop,year,month,day
VBZ,20121001,2,06,29160,1,8,48,ALBP,"Zürich, Albisriederplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,22,38,123,2012,10,1
VBZ,20121001,2,06,29160,1,9,3019,ZYPR,"Zürich, Zypressenstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,6,7,122,2012,10,1
VBZ,20121001,2,06,29160,1,10,1579,LOCH,"Zürich, Lochergut",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,5,2,125,2012,10,1
VBZ,20121001,2,06,29160,1,11,1357,KALK,"Zürich, Kalkbreite",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,12,14,123,2012,10,1
VBZ,20121001,2,06,29160,1,12,478,BEZI,"Zürich, Bezirksgebäude",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,7,8,122,2012,10,1
VBZ,20121001,2,06,29160,1,13,2556,STAU,"Zürich, Stauffacher",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,27,42,107,2012,10,1
VBZ,20121001,2,06,29160,1,14,2396,SIHS,"Zürich, Sihlstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,2,24,85,2012,10,1
VBZ,20121001,2,06,29160,1,15,1861,PARA,"Zürich, Paradeplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,6,34,57,2012,10,1
VBZ,20121001,2,06,29160,1,16,601,BOES,"Zürich, Börsenstrasse",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,0,2,55,2012,10,1
VBZ,20121001,2,06,29160,1,17,615,BURK,"Zürich, Bürkliplatz",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,7,1,61,2012,10,1
VBZ,20121001,2,06,29160,1,18,440,BELL,"Zürich, Bellevue",2.21M-2.21M,VBZ Tram 2000 mit Anhänger 21m,2071-2034,332,332,0,36,17,80,2012,10,1
