tripStart,routeName,routeVLD,runNumber,direction,stopId,stopNameShort,stopName,arrivalScheduled,departureScheduled,departureActual
42690,2,531,1,2,2228,BOES,Zürich Börsenstrasse,43440,43470,43473
42690,2,531,1,2,1528,PARA,Zürich Paradeplatz,43500,43560,43565
42690,2,531,1,2,2657,SIHS,Zürich Sihlstrasse,43620,43668,43703
42690,2,531,1,2,1502,STAU,Zürich Stauffacher,43740,43830,43857
42690,2,531,1,2,1306,BEZI,Zürich Bezirksgebäude,43884,43926,43942
42690,2,531,1,2,1906,KALK,Zürich Kalkbreite,43962,43998,44019
42690,2,531,1,2,2248,LOCH,Zürich Lochergut,44046,44076,44083
42690,2,531,1,2,2250,ZYPR,Zürich Zypressenstrasse,44118,44148,44138
42690,2,531,1,2,1535,ALBP,Zürich Albisriederplatz,44202,44250,44256
42690,2,531,1,2,2245,LETG,Zürich Letzigrund,44310,44334,44354
42690,2,531,1,2,2253,FREI,Zürich Freihofstrasse,44382,44406,44421
42690,2,531,1,2,2244,KAPP,Zürich Kappeli,44454,44472,44497
42690,2,531,1,2,2770,GRIM,Zürich Grimselstrasse,44544,44562,44581
42690,2,531,1,2,2535,LIND,Zürich Lindenplatz,44616,44640,44653
42690,2,531,1,2,2818,BACH,Zürich Bachmattstrasse,44682,44700,44707
42690,2,531,1,2,1310,FARB,Zürich Farbhof,44754,44754,44934
44880,2,531,1,1,1310,FARB,Zürich Farbhof,44880,44880,44951
44880,2,531,1,1,2818,BACH,Zürich Bachmattstrasse,44934,44952,45004
44880,2,531,1,1,2535,LIND,Zürich Lindenplatz,44982,45012,45067
44880,2,531,1,1,2770,GRIM,Zürich Grimselstrasse,45054,45084,45130
44880,2,531,1,1,2244,KAPP,Zürich Kappeli,45150,45174,45221
44880,2,531,1,1,2253,FREI,Zürich Freihofstrasse,45222,45246,45306
44880,2,531,1,1,2245,LETG,Zürich Letzigrund,45294,45318,45370
44880,2,531,1,1,1535,ALBP,Zürich Albisriederplatz,45378,45420,45461
