stop_seq,stop_name,passenger_on,passenger_off,passenger_load,seconds,route,latitude,longitude,trip_id,dir,vehno,timestop,timedoorclose,timepullout,doordwell,waitdwell,sincemidnight,hms,
40, MISSION ST&9TH ST E-FS/BZ,0,0,0,23,14,37.7774,-122.413,480,1,7118,4:49:23,4:49:23,4:49:23,00:00:00,00:00:00,17363,4:49:23
32, UNION ST&BUCHANAN ST NE-NS/B,0,0,0,25,41,37.7976,-122.432,473,0,7122,4:49:25,4:49:25,4:49:25,00:00:00,00:00:00,17365,4:49:25
17, BALBOA ST&17TH AVE SW-NS/PS,0,0,9,31,31,37.7766,-122.476,464,1,5500,4:49:31,4:49:38,4:49:51,00:00:07,00:00:13,17371,4:49:31
41, MISSION ST&8TH ST E-FS/BZ,0,0,0,37,14,37.778,-122.413,480,1,7118,4:49:37,4:49:37,4:49:37,00:00:00,00:00:00,17377,4:49:37
42, MISSION ST&7TH ST E-FS/BZ,0,0,0,2,14,37.7792,-122.411,480,1,7118,4:50:02,4:50:02,4:50:02,00:00:00,00:00:00,17402,4:50:2
33, UNION ST&FILLMORE ST NW-FS/B,0,0,0,21,41,37.7971,-122.436,473,0,7122,4:50:21,4:50:21,4:50:21,00:00:00,00:00:00,17421,4:50:21
18, BALBOA ST&PARK PRESIDIO BLVD,2,0,11,23,31,37.7768,-122.472,464,1,5500,4:50:23,4:50:31,4:50:31,00:00:08,00:00:00,17423,4:50:23
43, MISSION ST&6TH ST E-FS/BZ,0,0,0,37,14,37.7811,-122.409,480,1,7118,4:50:37,4:50:37,4:50:37,00:00:00,00:00:00,17437,4:50:37
36, UNION ST&STEINER ST -MI,0,0,0,45,41,37.7969,-122.437,473,0,7122,4:50:45,4:50:45,4:50:45,00:00:00,00:00:00,17445,4:50:45
38, UNION ST&PIERCE ST NE-NS/BZ,0,0,0,9,41,37.7967,-122.439,473,0,7122,4:51:09,4:51:09,4:51:09,00:00:00,00:00:00,17469,4:51:9
44, MISSION ST&5TH ST S-NS/BZ,0,0,0,21,14,37.7829,-122.406,480,1,7118,4:51:21,4:51:21,4:51:21,00:00:00,00:00:00,17481,4:51:21
19, BALBOA ST&12TH AVE SW-NS/PS,0,0,11,52,31,37.777,-122.47,464,1,5500,4:51:52,4:51:52,4:51:52,00:00:00,00:00:00,17512,4:51:52
45, MISSION ST&4TH ST E-FS/BZ,0,0,0,53,14,37.7846,-122.405,480,1,7118,4:51:53,4:51:53,4:51:53,00:00:00,00:00:00,17513,4:51:53
39, UNION ST&DIVISADERO ST NE-NS,0,0,0,55,41,37.7964,-122.442,473,0,7122,4:51:55,4:51:55,4:51:55,00:00:00,00:00:00,17515,4:51:55
20, BALBOA ST&10TH AVE SW-NS/PS,0,0,11,19,31,37.7771,-122.468,464,1,5500,4:52:19,4:52:19,4:52:19,00:00:00,00:00:00,17539,4:52:19
21, BALBOA ST&8TH AVE SW-NS/PS,0,0,11,40,31,37.7772,-122.466,464,1,5500,4:52:40,4:52:40,4:52:40,00:00:00,00:00:00,17560,4:52:40
40, UNION ST&BAKER ST NE-NS,0,0,0,57,41,37.7959,-122.445,473,0,7122,4:52:57,4:52:57,4:52:57,00:00:00,00:00:00,17577,4:52:57
22, BALBOA ST&6TH AVE SE-FS/BZ,0,0,11,12,31,37.7773,-122.464,464,1,5500,4:53:12,4:53:12,4:53:12,00:00:00,00:00:00,17592,4:53:12
46, MISSION ST&3RD ST E-FS/BZ,0,0,0,15,14,37.7867,-122.402,480,1,7118,4:53:15,4:53:15,4:53:15,00:00:00,00:00:00,17595,4:53:15
23, BALBOA ST&4TH AVE SW-NS/BZ,0,0,11,41,31,37.7774,-122.462,464,1,5500,4:53:41,4:53:41,4:53:41,00:00:00,00:00:00,17621,4:53:41
41, BAKER ST&GREENWICH ST SE-NS,0,0,0,51,41,37.7974,-122.446,473,0,7122,4:53:51,4:53:51,4:53:51,00:00:00,00:00:00,17631,4:53:51
47, MISSION ST&2ND ST S-NS/BZ,0,0,0,3,14,37.7878,-122.4,480,1,7118,4:54:03,4:54:03,4:54:03,00:00:00,00:00:00,17643,4:54:3
24, TURK ST&ARGUELLO BLVD SE-FS/,2,0,13,51,31,37.7772,-122.458,464,1,5500,4:54:51,4:55:00,4:55:12,00:00:09,00:00:12,17691,4:54:51
48, MISSION ST&FREMONT ST S-MB/B,0,0,0,3,14,37.79,-122.397,480,1,7118,4:55:03,4:55:03,4:55:03,00:00:00,00:00:00,17703,4:55:3
25, TURK ST&STANYAN ST SE-FS/BZ,0,0,13,37,31,37.7776,-122.455,464,1,5500,4:55:37,4:55:37,4:55:37,00:00:00,00:00:00,17737,4:55:37
26, TURK ST&PARKER AVE SW-NS/BZ,0,0,13,59,31,37.7778,-122.453,464,1,5500,4:55:59,4:55:59,4:55:59,00:00:00,00:00:00,17759,4:55:59
27, TURK ST&CHABOT TER SE-FS/BZ,0,0,13,21,31,37.7781,-122.451,464,1,5500,4:56:21,4:56:21,4:56:21,00:00:00,00:00:00,17781,4:56:21
